Rank,Address,Quantity,Percentage,Value,Analytics
195,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x292e2edd54e43b843d5d9eab91a6cbd7e7d30e1f,"20,225,911,794,248.568209485",0.0202%,"$110,352.57",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x292e2edd54e43b843d5d9eab91a6cbd7e7d30e1f#tokenAnalytics
196,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x4dfffc7f95c5bd09ba123e50b91116cd8885c58d,"20,153,156,059,492.026486042",0.0202%,"$109,955.62",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x4dfffc7f95c5bd09ba123e50b91116cd8885c58d#tokenAnalytics
197,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xb4afb5e6166ce3dd1fb2889a31f962d2a4f36c06,"20,128,362,294,408.208933594",0.0201%,"$109,820.34",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xb4afb5e6166ce3dd1fb2889a31f962d2a4f36c06#tokenAnalytics
198,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xf6c0e4815ad243fff83dd14698fc524687b6b15e,"20,090,554,959,586.151673469",0.0201%,"$109,614.07",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xf6c0e4815ad243fff83dd14698fc524687b6b15e#tokenAnalytics
199,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xfaf2965b9e11e4cfbee1dd2d41252e453b3daf13,"20,043,402,264,321.466240738",0.0200%,"$109,356.80",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xfaf2965b9e11e4cfbee1dd2d41252e453b3daf13#tokenAnalytics
200,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xdf3be6442f8051e004951a00d19b7e056202b3a1,"20,034,522,864,902.580343535",0.0200%,"$109,308.36",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xdf3be6442f8051e004951a00d19b7e056202b3a1#tokenAnalytics
201,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x2adc20d52a7b1011e599ed7324c63748b2d1cf92,"20,025,153,561,207.758940881",0.0200%,"$109,257.24",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x2adc20d52a7b1011e599ed7324c63748b2d1cf92#tokenAnalytics
202,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x1c7e9759ba8dfe02f254454c92a36a98f9c81ec1,"20,002,139,128,569.017556612",0.0200%,"$109,131.67",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x1c7e9759ba8dfe02f254454c92a36a98f9c81ec1#tokenAnalytics
203,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x7fe79048a4ca5974ec212d7cce89e787ce6c0ca4,"19,817,430,064,492.74290783",0.0198%,"$108,123.90",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x7fe79048a4ca5974ec212d7cce89e787ce6c0ca4#tokenAnalytics
204,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x8af82c463bbafb5bf14d12da654acfa066cf9769,"19,810,222,102,179.880479913",0.0198%,"$108,084.57",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x8af82c463bbafb5bf14d12da654acfa066cf9769#tokenAnalytics
