Rank,Address,Quantity,Percentage,Value,Analytics
38,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x38d92c84a16b42f679ab4a5288ba09f8c986551e,"65,881,370,446,882.857820511",0.0659%,"$309,642.44",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x38d92c84a16b42f679ab4a5288ba09f8c986551e#tokenAnalytics
39,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x6341d0da948b150d4750ecea024c82fd41d60bd8,"62,181,943,095,857.014174962",0.0622%,"$292,255.13",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x6341d0da948b150d4750ecea024c82fd41d60bd8#tokenAnalytics
40,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xb97c0dedc7c950150a907a22d8763e67ecf3387b,"61,641,802,757,569.791834416",0.0616%,"$289,716.47",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xb97c0dedc7c950150a907a22d8763e67ecf3387b#tokenAnalytics
41,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x2db1bbbe823cd87c591df3c5d918f35ee4cd74b2,"59,515,457,622,189.592416177",0.0595%,"$279,722.65",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x2db1bbbe823cd87c591df3c5d918f35ee4cd74b2#tokenAnalytics
42,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x379b9452b2e84720f6432c891e010e8b15fb8fe5,"58,515,525,282,465.30416025",0.0585%,"$275,022.97",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x379b9452b2e84720f6432c891e010e8b15fb8fe5#tokenAnalytics
43,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x251b5f4245a864a3ed243ab76f80e386d4aba7a7,"58,154,663,990,446.209733262",0.0582%,"$273,326.92",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x251b5f4245a864a3ed243ab76f80e386d4aba7a7#tokenAnalytics
44,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xeced8bfbd493ac2c24e98adc33329917312ce879,"56,642,430,000,103.856287827",0.0566%,"$266,219.42",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xeced8bfbd493ac2c24e98adc33329917312ce879#tokenAnalytics
45,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x704d299aa95546768b0b32c99821f5fd209481aa,"55,725,380,767,824.510034347",0.0557%,"$261,909.29",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x704d299aa95546768b0b32c99821f5fd209481aa#tokenAnalytics
46,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x05de95b28d28da01d2306909b9201dc183513c12,"53,096,790,359,638.343787721",0.0531%,"$249,554.91",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x05de95b28d28da01d2306909b9201dc183513c12#tokenAnalytics
47,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x2f4e6d42ff6a68497656d8788ea2bcc7d04658b1,"51,189,983,028,292.6446896",0.0512%,"$240,592.92",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x2f4e6d42ff6a68497656d8788ea2bcc7d04658b1#tokenAnalytics
48,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x58791d43f2bd4cd9473c1a120dff38e8358f8208,"50,252,190,547,887.494718559",0.0503%,"$236,185.30",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x58791d43f2bd4cd9473c1a120dff38e8358f8208#tokenAnalytics
49,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x000b1879ed041994bd33114e6041b1e8ae8b980a,"49,779,949,633,665.449944636",0.0498%,"$233,965.76",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x000b1879ed041994bd33114e6041b1e8ae8b980a#tokenAnalytics
50,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x94c66badab9b120473c1ff98e5725aeecf323c43,"48,733,931,235,275.44344316",0.0487%,"$229,049.48",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x94c66badab9b120473c1ff98e5725aeecf323c43#tokenAnalytics
